,Date,Time,ltp,strikeprice,CE_sum,PE_sum,CE_contr,PE_contr
0,26-02-2024,13:09,46697.3,46700,686823,491382,58.29,41.71
1,26-02-2024,13:11,46712,46700,688975,493073,58.29,41.71
2,26-02-2024,13:11,46740.65,46700,688975,493073,58.29,41.71
3,26-02-2024,13:12,46781.85,46800,636630,521672,54.96,45.04
4,26-02-2024,13:13,46747.2,46700,679589,487900,58.21,41.79
5,26-02-2024,13:14,46795.15,46800,596606,528295,53.04,46.96
6,26-02-2024,13:17,46772.1,46800,596606,528295,53.04,46.96
7,26-02-2024,13:18,46794.15,46800,582429,532488,52.24,47.76
8,26-02-2024,13:20,46775.45,46800,582429,532488,52.24,47.76
9,26-02-2024,13:21,46768.3,46800,586155,534984,52.28,47.72
10,26-02-2024,13:22,46751.1,46800,586155,534984,52.28,47.72
11,26-02-2024,13:24,46723.85,46700,603810,490980,55.15,44.85
12,26-02-2024,13:27,46730.35,46700,603810,490980,55.15,44.85
13,26-02-2024,13:27,46735.65,46700,603810,490980,55.15,44.85
14,26-02-2024,13:29,46750.9,46800,584634,534917,52.22,47.78
15,26-02-2024,13:31,46725.7,46700,609741,494997,55.19,44.81
16,26-02-2024,13:33,46718.15,46700,608630,496150,55.09,44.91
17,26-02-2024,13:35:26,46706.45,46700,608630,496150,55.09,44.91
18,26-02-2024,13:36:13,46707.6,46700,608630,496150,55.09,44.91
19,26-02-2024,13:37:15,46715.1,46700,610934,500038,54.99,45.01
20,26-02-2024,13:38:18,46704.85,46700,610934,500038,54.99,45.01
21,26-02-2024,13:39:40,46708,46700,610934,500038,54.99,45.01
22,26-02-2024,13:40:43,46710.7,46700,618330,501495,55.22,44.78
23,26-02-2024,13:42:05,46673.4,46700,618330,501495,55.22,44.78
24,26-02-2024,13:42:46,46679.6,46700,616004,494383,55.48,44.52
25,26-02-2024,13:45:17,46671.2,46700,616004,494383,55.48,44.52
26,26-02-2024,13:47:01,46667.65,46700,623906,497844,55.62,44.38
27,26-02-2024,13:49:25,46698.8,46700,629204,493735,56.03,43.97
28,26-02-2024,13:51:29,46748.25,46700,629204,493735,56.03,43.97
29,26-02-2024,13:52:50,46729.2,46700,632020,484683,56.6,43.4
30,26-02-2024,13:55:30,46722.5,46700,632507,483438,56.68,43.32
31,26-02-2024,13:57:15,46729.5,46700,632507,483438,56.68,43.32
32,26-02-2024,13:59:19,46697.5,46700,636529,485162,56.75,43.25
33,26-02-2024,14:01:03,46690.4,46700,628841,489184,56.25,43.75
34,26-02-2024,14:03:15,46709.65,46700,628841,489184,56.25,43.75
35,26-02-2024,14:05:20,46708.75,46700,629976,490600,56.22,43.78
36,26-02-2024,14:06:43,46706.7,46700,630464,490762,56.23,43.77
37,26-02-2024,14:09:29,46734.35,46700,630464,490762,56.23,43.77
38,26-02-2024,14:11:53,46736.3,46700,630852,492940,56.14,43.86
39,26-02-2024,14:12:56,46726.7,46700,629115,489914,56.22,43.78
40,26-02-2024,14:15:21,46714.1,46700,629115,489914,56.22,43.78
41,26-02-2024,14:15:42,46720.05,46700,629115,489914,56.22,43.78
42,26-02-2024,14:17:47,46705.6,46700,627429,490438,56.13,43.87
43,26-02-2024,14:19:51,46694.3,46700,624245,491863,55.93,44.07
44,26-02-2024,14:20:32,46708.3,46700,624245,491863,55.93,44.07
45,26-02-2024,14:22:36,46726.15,46700,627844,491105,56.11,43.89
46,26-02-2024,14:24:40,46735.1,46700,631434,492764,56.17,43.83
47,26-02-2024,14:27:29,46750.15,46800,598499,530929,52.99,47.01
48,26-02-2024,14:28:31,46728.3,46700,629064,493255,56.05,43.95
49,26-02-2024,14:32:09,46718.2,46700,627133,495115,55.88,44.12
50,26-02-2024,14:32:51,46743.1,46700,627133,495115,55.88,44.12
51,26-02-2024,14:35:16,46731.15,46700,629507,494247,56.02,43.98
52,26-02-2024,14:37:41,46697.2,46700,630209,490842,56.22,43.78
53,26-02-2024,14:39:03,46696.9,46700,630209,490842,56.22,43.78
54,26-02-2024,14:41:30,46668.9,46700,622264,494200,55.74,44.26
55,26-02-2024,14:42:31,46667.2,46700,619298,490344,55.81,44.19
56,26-02-2024,14:45:18,46665.3,46700,619298,490344,55.81,44.19
57,26-02-2024,14:47:04,46674.35,46700,619752,490942,55.8,44.2
58,26-02-2024,14:48:47,46679.95,46700,620161,488744,55.93,44.07
59,26-02-2024,14:51:14,46646,46600,423358,400284,51.4,48.6
60,26-02-2024,14:51:35,46624.65,46600,412717,392349,51.26,48.74
61,26-02-2024,14:53:00,46619.25,46600,412717,392349,51.26,48.74
62,26-02-2024,14:55:04,46615.8,46600,416044,382893,52.07,47.93
63,26-02-2024,14:55:25,46632.3,46600,416044,382893,52.07,47.93
64,26-02-2024,14:57:30,46625.55,46600,416044,382893,52.07,47.93
65,26-02-2024,14:58:58,46617.05,46600,422959,382585,52.51,47.49
66,26-02-2024,14:59:19,46633.2,46600,422056,383418,52.4,47.6
67,26-02-2024,15:01:26,46617,46600,421212,384066,52.31,47.69
68,26-02-2024,15:02:28,46606.15,46600,421212,384066,52.31,47.69
69,26-02-2024,15:03:10,46589.75,46600,421212,384066,52.31,47.69
70,26-02-2024,15:05:14,46651.8,46700,609868,460804,56.96,43.04
71,26-02-2024,15:07:40,46609.45,46600,416652,370629,52.92,47.08
72,26-02-2024,15:09:03,46603.45,46600,416652,370629,52.92,47.08
73,26-02-2024,15:11:28,46591.8,46600,418068,367491,53.22,46.78
74,26-02-2024,15:12:52,46579.8,46600,411975,363252,53.14,46.86
75,26-02-2024,15:15:17,46579.1,46600,411975,363252,53.14,46.86
76,26-02-2024,15:17:02,46571.55,46600,405693,361042,52.91,47.09
77,26-02-2024,15:17:43,46569.1,46600,406405,360587,52.99,47.01
78,26-02-2024,15:19:29,46567.6,46600,397029,346671,53.39,46.61
79,26-02-2024,15:20:51,46551.1,46600,397029,346671,53.39,46.61
80,26-02-2024,15:22:14,46556,46600,389509,333593,53.87,46.13
81,26-02-2024,15:22:56,46564.3,46600,389509,333593,53.87,46.13
82,26-02-2024,15:25:21,46561.35,46600,379392,324118,53.93,46.07
83,26-02-2024,15:26:44,46548.7,46500,367523,251505,59.37,40.63
84,26-02-2024,15:29:08,46576.7,46600,364893,313695,53.77,46.23
85,26-02-2024,15:31:42,46565.8,46600,360115,308359,53.87,46.13
86,26-02-2024,15:32:03,46553.6,46600,354081,297769,54.32,45.68
87,26-02-2024,15:33:26,46563.75,46600,354081,297769,54.32,45.68
88,26-02-2024,16:44:53,46576.5,46600,354081,297769,54.32,45.68
89,26-02-2024,16:46:02,46576.5,46600,354081,297769,54.32,45.68
90,26-02-2024,16:47:57,46576.5,46600,354081,297769,54.32,45.68
91,26-02-2024,16:48:34,46576.5,46600,354081,297769,54.32,45.68
92,26-02-2024,16:49:10,46576.5,46600,354081,297769,54.32,45.68
93,26-02-2024,16:49:45,46576.5,46600,354081,297769,54.32,45.68
94,26-02-2024,16:50:21,46576.5,46600,354081,297769,54.32,45.68
95,26-02-2024,16:50:56,46576.5,46600,354081,297769,54.32,45.68
96,26-02-2024,16:51:32,46576.5,46600,354081,297769,54.32,45.68
97,26-02-2024,16:54:59,46576.5,46600,354081,297769,54.32,45.68
98,26-02-2024,16:55:36,46576.5,46600,354081,297769,54.32,45.68
99,26-02-2024,16:58:12,46576.5,46600,354081,297769,54.32,45.68
100,26-02-2024,16:58:49,46576.5,46600,354081,297769,54.32,45.68
101,26-02-2024,17:08:05,46576.5,46600,354081,297769,54.32,45.68
102,26-02-2024,17:08:41,46576.5,46600,354081,297769,54.32,45.68
103,26-02-2024,17:09:19,46576.5,46600,354081,297769,54.32,45.68
104,26-02-2024,17:10:50,46576.5,46600,354081,297769,54.32,45.68
105,26-02-2024,17:11:27,46576.5,46600,354081,297769,54.32,45.68
106,26-02-2024,17:26:22,46576.5,46600,354081,297769,54.32,45.68
107,26-02-2024,17:26:59,46576.5,46600,354081,297769,54.32,45.68
108,26-02-2024,17:27:35,46576.5,46600,354081,297769,54.32,45.68
109,26-02-2024,17:28:12,46576.5,46600,354081,297769,54.32,45.68
110,26-02-2024,17:28:48,46576.5,46600,354081,297769,54.32,45.68
111,26-02-2024,17:29:24,46576.5,46600,354081,297769,54.32,45.68
112,26-02-2024,17:29:59,46576.5,46600,354081,297769,54.32,45.68
113,26-02-2024,17:30:35,46576.5,46600,354081,297769,54.32,45.68
